ticker,start_ts_utc,start_iso,n_kalshi_points,n_poly_points,n_aligned,n_arb_mid,n_arb_exec,n_sig2_exec15,best_mid,best_mid_edge_pct,best_exec,best_exec_edge_pct,kalshi_fallback,slug
KXBTC15M-26APR221145-45,1776871800,2026-04-22T15:30:00+00:00,16,16,15,13,13,11,0.67,33.0,0.675,32.5,0,btc-updown-15m-1776871800
KXBTC15M-26APR221200-00,1776872700,2026-04-22T15:45:00+00:00,16,16,15,15,15,14,0.728,27.2,0.733,26.7,0,btc-updown-15m-1776872700
KXBTC15M-26APR221215-15,1776873600,2026-04-22T16:00:00+00:00,16,16,15,14,14,13,0.74,26.0,0.745,25.5,0,btc-updown-15m-1776873600
KXBTC15M-26APR221230-30,1776874500,2026-04-22T16:15:00+00:00,16,16,15,9,8,8,0.825,17.5,0.835,16.5,0,btc-updown-15m-1776874500
KXBTC15M-26APR221245-45,1776875400,2026-04-22T16:30:00+00:00,16,16,15,14,14,14,0.63,37.0,0.635,36.5,0,btc-updown-15m-1776875400
KXBTC15M-26APR221300-00,1776876300,2026-04-22T16:45:00+00:00,16,16,15,15,15,13,0.74,26.0,0.745,25.5,0,btc-updown-15m-1776876300
KXBTC15M-26APR221315-15,1776877200,2026-04-22T17:00:00+00:00,16,16,15,10,10,8,0.83,17.0,0.835,16.5,0,btc-updown-15m-1776877200
KXBTC15M-26APR221330-30,1776878100,2026-04-22T17:15:00+00:00,16,16,15,13,11,7,0.84,16.0,0.845,15.5,0,btc-updown-15m-1776878100
KXBTC15M-26APR221345-45,1776879000,2026-04-22T17:30:00+00:00,16,16,15,12,11,10,0.4155,58.45,0.416,58.4,0,btc-updown-15m-1776879000
KXBTC15M-26APR221400-00,1776879900,2026-04-22T17:45:00+00:00,16,16,15,12,12,11,0.71,29.0,0.715,28.5,0,btc-updown-15m-1776879900
KXBTC15M-26APR221415-15,1776880800,2026-04-22T18:00:00+00:00,16,16,15,15,15,14,0.6585,34.15,0.66,34.0,0,btc-updown-15m-1776880800
KXBTC15M-26APR221430-30,1776881700,2026-04-22T18:15:00+00:00,16,16,15,13,13,12,0.709,29.1,0.718,28.2,0,btc-updown-15m-1776881700
KXBTC15M-26APR221445-45,1776882600,2026-04-22T18:30:00+00:00,16,16,15,12,12,12,0.83,17.0,0.835,16.5,0,btc-updown-15m-1776882600
KXBTC15M-26APR221500-00,1776883500,2026-04-22T18:45:00+00:00,16,16,15,14,14,11,0.75,25.0,0.755,24.5,0,btc-updown-15m-1776883500
KXBTC15M-26APR221515-15,1776884400,2026-04-22T19:00:00+00:00,16,16,15,8,8,7,0.715,28.5,0.72,28.0,0,btc-updown-15m-1776884400
KXBTC15M-26APR221530-30,1776885300,2026-04-22T19:15:00+00:00,16,16,15,10,10,10,0.78,22.0,0.785,21.5,0,btc-updown-15m-1776885300
KXBTC15M-26APR221545-45,1776886200,2026-04-22T19:30:00+00:00,16,16,15,8,8,7,0.85,15.0,0.855,14.5,0,btc-updown-15m-1776886200
KXBTC15M-26APR221600-00,1776887100,2026-04-22T19:45:00+00:00,16,16,15,14,13,13,0.7315,26.85,0.735,26.5,0,btc-updown-15m-1776887100
KXBTC15M-26APR221615-15,1776888000,2026-04-22T20:00:00+00:00,16,16,15,15,15,14,0.69,31.0,0.695,30.5,0,btc-updown-15m-1776888000
KXBTC15M-26APR221630-30,1776888900,2026-04-22T20:15:00+00:00,16,16,15,11,11,8,0.68,32.0,0.685,31.5,0,btc-updown-15m-1776888900
KXBTC15M-26APR221645-45,1776889800,2026-04-22T20:30:00+00:00,16,16,15,15,15,14,0.76,24.0,0.765,23.5,0,btc-updown-15m-1776889800
KXBTC15M-26APR221700-00,1776890700,2026-04-22T20:45:00+00:00,16,16,15,13,13,12,0.77,23.0,0.775,22.5,0,btc-updown-15m-1776890700
KXBTC15M-26APR221715-15,1776891600,2026-04-22T21:00:00+00:00,16,16,15,9,9,9,0.875,12.5,0.885,11.5,0,btc-updown-15m-1776891600
KXBTC15M-26APR221730-30,1776892500,2026-04-22T21:15:00+00:00,16,16,15,14,14,14,0.4205,57.95,0.421,57.9,0,btc-updown-15m-1776892500
KXBTC15M-26APR221745-45,1776893400,2026-04-22T21:30:00+00:00,16,16,15,9,8,6,0.8,20.0,0.805,19.5,0,btc-updown-15m-1776893400
KXBTC15M-26APR221800-00,1776894300,2026-04-22T21:45:00+00:00,16,16,15,15,15,14,0.5,50.0,0.505,49.5,0,btc-updown-15m-1776894300
KXBTC15M-26APR221815-15,1776895200,2026-04-22T22:00:00+00:00,16,16,15,15,15,14,0.71,29.0,0.715,28.5,0,btc-updown-15m-1776895200
KXBTC15M-26APR221830-30,1776896100,2026-04-22T22:15:00+00:00,16,16,15,10,10,8,0.78,22.0,0.785,21.5,0,btc-updown-15m-1776896100
KXBTC15M-26APR221845-45,1776897000,2026-04-22T22:30:00+00:00,16,16,15,13,13,13,0.4655,53.45,0.466,53.4,0,btc-updown-15m-1776897000
KXBTC15M-26APR221900-00,1776897900,2026-04-22T22:45:00+00:00,16,16,15,14,14,14,0.635,36.5,0.645,35.5,0,btc-updown-15m-1776897900
KXBTC15M-26APR221915-15,1776898800,2026-04-22T23:00:00+00:00,16,16,15,11,11,10,0.805,19.5,0.813,18.7,0,btc-updown-15m-1776898800
KXBTC15M-26APR221930-30,1776899700,2026-04-22T23:15:00+00:00,16,16,15,8,8,8,0.847,15.3,0.849,15.1,0,btc-updown-15m-1776899700
KXBTC15M-26APR221945-45,1776900600,2026-04-22T23:30:00+00:00,16,16,15,14,14,12,0.801,19.9,0.803,19.7,0,btc-updown-15m-1776900600
KXBTC15M-26APR222000-00,1776901500,2026-04-22T23:45:00+00:00,16,16,15,15,15,14,0.7,30.0,0.705,29.5,0,btc-updown-15m-1776901500
KXBTC15M-26APR222015-15,1776902400,2026-04-23T00:00:00+00:00,16,16,15,12,12,12,0.51,49.0,0.515,48.5,0,btc-updown-15m-1776902400
KXBTC15M-26APR222030-30,1776903300,2026-04-23T00:15:00+00:00,16,16,15,8,7,7,0.625,37.5,0.63,37.0,0,btc-updown-15m-1776903300
KXBTC15M-26APR222045-45,1776904200,2026-04-23T00:30:00+00:00,16,16,15,14,14,13,0.0995,90.05,0.105,89.5,0,btc-updown-15m-1776904200
KXBTC15M-26APR222100-00,1776905100,2026-04-23T00:45:00+00:00,16,16,15,14,14,14,0.69,31.0,0.695,30.5,0,btc-updown-15m-1776905100
KXBTC15M-26APR222115-15,1776906000,2026-04-23T01:00:00+00:00,16,16,15,10,9,8,0.78,22.0,0.785,21.5,0,btc-updown-15m-1776906000
KXBTC15M-26APR222130-30,1776906900,2026-04-23T01:15:00+00:00,16,16,15,13,13,9,0.44,56.0,0.445,55.5,0,btc-updown-15m-1776906900
KXBTC15M-26APR222145-45,1776907800,2026-04-23T01:30:00+00:00,16,16,15,10,9,9,0.76,24.0,0.765,23.5,0,btc-updown-15m-1776907800
KXBTC15M-26APR222200-00,1776908700,2026-04-23T01:45:00+00:00,16,16,15,14,14,13,0.685,31.5,0.695,30.5,0,btc-updown-15m-1776908700
KXBTC15M-26APR222215-15,1776909600,2026-04-23T02:00:00+00:00,16,16,15,12,11,9,0.87,13.0,0.875,12.5,0,btc-updown-15m-1776909600
KXBTC15M-26APR222230-30,1776910500,2026-04-23T02:15:00+00:00,16,16,15,14,14,13,0.56,44.0,0.565,43.5,0,btc-updown-15m-1776910500
KXBTC15M-26APR222245-45,1776911400,2026-04-23T02:30:00+00:00,16,16,15,9,9,8,0.605,39.5,0.615,38.5,0,btc-updown-15m-1776911400
KXBTC15M-26APR222300-00,1776912300,2026-04-23T02:45:00+00:00,16,16,15,10,10,8,0.7,30.0,0.705,29.5,0,btc-updown-15m-1776912300
KXBTC15M-26APR222315-15,1776913200,2026-04-23T03:00:00+00:00,16,16,15,13,13,13,0.64,36.0,0.645,35.5,0,btc-updown-15m-1776913200
KXBTC15M-26APR222330-30,1776914100,2026-04-23T03:15:00+00:00,16,16,15,15,15,14,0.7675,23.25,0.769,23.1,0,btc-updown-15m-1776914100
KXBTC15M-26APR222345-45,1776915000,2026-04-23T03:30:00+00:00,16,16,15,14,14,14,0.77,23.0,0.775,22.5,0,btc-updown-15m-1776915000
KXBTC15M-26APR230000-00,1776915900,2026-04-23T03:45:00+00:00,16,16,15,14,14,13,0.68,32.0,0.685,31.5,0,btc-updown-15m-1776915900
KXBTC15M-26APR230015-15,1776916800,2026-04-23T04:00:00+00:00,16,16,15,14,13,11,0.67,33.0,0.675,32.5,0,btc-updown-15m-1776916800
KXBTC15M-26APR230030-30,1776917700,2026-04-23T04:15:00+00:00,16,16,15,13,13,12,0.76,24.0,0.765,23.5,0,btc-updown-15m-1776917700
KXBTC15M-26APR230045-45,1776918600,2026-04-23T04:30:00+00:00,16,16,15,11,11,8,0.91,9.0,0.915,8.5,0,btc-updown-15m-1776918600
KXBTC15M-26APR230100-00,1776919500,2026-04-23T04:45:00+00:00,16,16,15,12,10,10,0.845,15.5,0.855,14.5,0,btc-updown-15m-1776919500
KXBTC15M-26APR230115-15,1776920400,2026-04-23T05:00:00+00:00,16,16,15,14,13,10,0.915,8.5,0.92,8.0,0,btc-updown-15m-1776920400
KXBTC15M-26APR230130-30,1776921300,2026-04-23T05:15:00+00:00,16,16,15,11,10,9,0.74,26.0,0.745,25.5,0,btc-updown-15m-1776921300
KXBTC15M-26APR230145-45,1776922200,2026-04-23T05:30:00+00:00,16,16,15,14,14,12,0.83,17.0,0.835,16.5,0,btc-updown-15m-1776922200
KXBTC15M-26APR230200-00,1776923100,2026-04-23T05:45:00+00:00,16,16,15,7,7,6,0.855,14.5,0.865,13.5,0,btc-updown-15m-1776923100
KXBTC15M-26APR230515-15,1776934800,2026-04-23T09:00:00+00:00,16,16,15,8,8,6,0.709,29.1,0.713,28.7,0,btc-updown-15m-1776934800
KXBTC15M-26APR230530-30,1776935700,2026-04-23T09:15:00+00:00,16,16,15,14,14,13,0.57,43.0,0.575,42.5,0,btc-updown-15m-1776935700
KXBTC15M-26APR230545-45,1776936600,2026-04-23T09:30:00+00:00,16,16,15,12,12,12,0.75,25.0,0.755,24.5,0,btc-updown-15m-1776936600
KXBTC15M-26APR230600-00,1776937500,2026-04-23T09:45:00+00:00,16,16,15,13,13,13,0.73,27.0,0.735,26.5,0,btc-updown-15m-1776937500
KXBTC15M-26APR230615-15,1776938400,2026-04-23T10:00:00+00:00,16,16,15,8,8,7,0.67,33.0,0.675,32.5,0,btc-updown-15m-1776938400
KXBTC15M-26APR230630-30,1776939300,2026-04-23T10:15:00+00:00,16,16,15,11,11,10,0.85,15.0,0.855,14.5,0,btc-updown-15m-1776939300
KXBTC15M-26APR230645-45,1776940200,2026-04-23T10:30:00+00:00,16,16,15,15,15,15,0.2145,78.55,0.215,78.5,0,btc-updown-15m-1776940200
KXBTC15M-26APR230700-00,1776941100,2026-04-23T10:45:00+00:00,16,16,15,15,15,15,0.66,34.0,0.665,33.5,0,btc-updown-15m-1776941100
KXBTC15M-26APR230715-15,1776942000,2026-04-23T11:00:00+00:00,16,16,15,14,14,14,0.5865,41.35,0.605,39.5,0,btc-updown-15m-1776942000
KXBTC15M-26APR230730-30,1776942900,2026-04-23T11:15:00+00:00,16,16,15,11,10,10,0.83,17.0,0.835,16.5,0,btc-updown-15m-1776942900
KXBTC15M-26APR230745-45,1776943800,2026-04-23T11:30:00+00:00,16,16,15,12,12,12,0.63,37.0,0.635,36.5,0,btc-updown-15m-1776943800
KXBTC15M-26APR230800-00,1776944700,2026-04-23T11:45:00+00:00,16,16,15,12,11,11,0.525,47.5,0.535,46.5,0,btc-updown-15m-1776944700
KXBTC15M-26APR230815-15,1776945600,2026-04-23T12:00:00+00:00,16,16,15,15,15,15,0.6195,38.05,0.622,37.8,0,btc-updown-15m-1776945600
KXBTC15M-26APR230830-30,1776946500,2026-04-23T12:15:00+00:00,16,16,15,15,15,15,0.5145,48.55,0.518,48.2,0,btc-updown-15m-1776946500
KXBTC15M-26APR230845-45,1776947400,2026-04-23T12:30:00+00:00,16,16,15,15,15,15,0.562,43.8,0.564,43.6,0,btc-updown-15m-1776947400
KXBTC15M-26APR230900-00,1776948300,2026-04-23T12:45:00+00:00,16,16,15,14,14,13,0.53,47.0,0.535,46.5,0,btc-updown-15m-1776948300
KXBTC15M-26APR230915-15,1776949200,2026-04-23T13:00:00+00:00,16,16,15,13,12,11,0.76,24.0,0.765,23.5,0,btc-updown-15m-1776949200
KXBTC15M-26APR230930-30,1776950100,2026-04-23T13:15:00+00:00,16,16,15,15,15,15,0.4815,51.85,0.486,51.4,0,btc-updown-15m-1776950100
KXBTC15M-26APR230945-45,1776951000,2026-04-23T13:30:00+00:00,16,16,15,13,12,11,0.71,29.0,0.715,28.5,0,btc-updown-15m-1776951000
KXBTC15M-26APR231000-00,1776951900,2026-04-23T13:45:00+00:00,16,16,15,14,14,13,0.678,32.2,0.685,31.5,0,btc-updown-15m-1776951900
KXBTC15M-26APR231015-15,1776952800,2026-04-23T14:00:00+00:00,16,16,15,15,15,15,0.61,39.0,0.615,38.5,0,btc-updown-15m-1776952800
KXBTC15M-26APR231030-30,1776953700,2026-04-23T14:15:00+00:00,16,16,15,12,12,12,0.58,42.0,0.583,41.7,0,btc-updown-15m-1776953700
KXBTC15M-26APR231045-45,1776954600,2026-04-23T14:30:00+00:00,16,16,15,15,15,14,0.665,33.5,0.685,31.5,0,btc-updown-15m-1776954600
KXBTC15M-26APR231100-00,1776955500,2026-04-23T14:45:00+00:00,16,16,15,9,9,9,0.795,20.5,0.805,19.5,0,btc-updown-15m-1776955500
KXBTC15M-26APR231115-15,1776956400,2026-04-23T15:00:00+00:00,16,16,15,11,10,7,0.852,14.8,0.8545,14.55,0,btc-updown-15m-1776956400
KXBTC15M-26APR231130-30,1776957300,2026-04-23T15:15:00+00:00,16,16,15,9,9,9,0.65,35.0,0.655,34.5,0,btc-updown-15m-1776957300
KXBTC15M-26APR231145-45,1776958200,2026-04-23T15:30:00+00:00,16,16,15,11,10,9,0.75,25.0,0.755,24.5,0,btc-updown-15m-1776958200
KXBTC15M-26APR231200-00,1776959100,2026-04-23T15:45:00+00:00,16,16,15,11,11,10,0.775,22.5,0.78,22.0,0,btc-updown-15m-1776959100
KXBTC15M-26APR231215-15,1776960000,2026-04-23T16:00:00+00:00,16,16,15,14,14,14,0.49,51.0,0.495,50.5,0,btc-updown-15m-1776960000
KXBTC15M-26APR231230-30,1776960900,2026-04-23T16:15:00+00:00,16,16,15,14,13,11,0.77,23.0,0.775,22.5,0,btc-updown-15m-1776960900
KXBTC15M-26APR231245-45,1776961800,2026-04-23T16:30:00+00:00,16,16,15,14,14,13,0.58,42.0,0.585,41.5,0,btc-updown-15m-1776961800
KXBTC15M-26APR231300-00,1776962700,2026-04-23T16:45:00+00:00,16,16,15,9,9,7,0.73,27.0,0.735,26.5,0,btc-updown-15m-1776962700
KXBTC15M-26APR231315-15,1776963600,2026-04-23T17:00:00+00:00,16,16,15,7,7,6,0.635,36.5,0.645,35.5,0,btc-updown-15m-1776963600
KXBTC15M-26APR231330-30,1776964500,2026-04-23T17:15:00+00:00,16,16,15,11,10,9,0.67,33.0,0.675,32.5,0,btc-updown-15m-1776964500
KXBTC15M-26APR231345-45,1776965400,2026-04-23T17:30:00+00:00,16,16,15,11,11,10,0.55,45.0,0.555,44.5,0,btc-updown-15m-1776965400
KXBTC15M-26APR231400-00,1776966300,2026-04-23T17:45:00+00:00,16,16,15,11,9,9,0.78,22.0,0.785,21.5,0,btc-updown-15m-1776966300
KXBTC15M-26APR231415-15,1776967200,2026-04-23T18:00:00+00:00,16,16,15,11,11,11,0.71,29.0,0.715,28.5,0,btc-updown-15m-1776967200
