close_ts_utc,close_iso,ticker,kalshi_result,poly_outcome,classification,kalshi_strike,kalshi_cap_strike,kalshi_settlement,poly_price_to_beat,delta_poly_minus_kalshi,poly_question
1777122000,2026-04-25T13:00:00+00:00,KXBTC15M-26APR250900-00,yes,down,DIVERGE,77584.89,,,77576.89425132514,-8.0,"Bitcoin Up or Down - April 25, 8:45AM-9:00AM ET"
1777122900,2026-04-25T13:15:00+00:00,KXBTC15M-26APR250915-15,yes,up,agree,77585.27,,,77574.1917899385,-11.08,"Bitcoin Up or Down - April 25, 9:00AM-9:15AM ET"
1777123800,2026-04-25T13:30:00+00:00,KXBTC15M-26APR250930-30,no,down,agree,77661.82,,,77660.58554862348,-1.23,"Bitcoin Up or Down - April 25, 9:15AM-9:30AM ET"
1777124700,2026-04-25T13:45:00+00:00,KXBTC15M-26APR250945-45,yes,up,agree,77642.73,,,77635.67972,-7.05,"Bitcoin Up or Down - April 25, 9:30AM-9:45AM ET"
1777125600,2026-04-25T14:00:00+00:00,KXBTC15M-26APR251000-00,yes,up,agree,77691.55,,,77691.7454,0.2,"Bitcoin Up or Down - April 25, 9:45AM-10:00AM ET"
1777126500,2026-04-25T14:15:00+00:00,KXBTC15M-26APR251015-15,no,up,DIVERGE,77710.95,,,77701.983,-8.97,"Bitcoin Up or Down - April 25, 10:00AM-10:15AM ET"
1777127400,2026-04-25T14:30:00+00:00,KXBTC15M-26APR251030-30,yes,up,agree,77677.01,,,77702.68762253759,25.68,"Bitcoin Up or Down - April 25, 10:15AM-10:30AM ET"
1777128300,2026-04-25T14:45:00+00:00,KXBTC15M-26APR251045-45,no,up,DIVERGE,77753.95,,,77743.17,-10.78,"Bitcoin Up or Down - April 25, 10:30AM-10:45AM ET"
1777129200,2026-04-25T15:00:00+00:00,KXBTC15M-26APR251100-00,no,down,agree,77752.73,,,77749.88,-2.85,"Bitcoin Up or Down - April 25, 10:45AM-11:00AM ET"
1777130100,2026-04-25T15:15:00+00:00,KXBTC15M-26APR251115-15,yes,up,agree,77684.2,,,77677.19629,-7.0,"Bitcoin Up or Down - April 25, 11:00AM-11:15AM ET"
1777131000,2026-04-25T15:30:00+00:00,KXBTC15M-26APR251130-30,yes,up,agree,77697.87,,,77688.48419,-9.39,"Bitcoin Up or Down - April 25, 11:15AM-11:30AM ET"
1777131900,2026-04-25T15:45:00+00:00,KXBTC15M-26APR251145-45,no,down,agree,77729.68,,,77723.59956,-6.08,"Bitcoin Up or Down - April 25, 11:30AM-11:45AM ET"
1777132800,2026-04-25T16:00:00+00:00,KXBTC15M-26APR251200-00,no,down,agree,77698.87,,,77680.59342258585,-18.28,"Bitcoin Up or Down - April 25, 11:45AM-12:00PM ET"
1777133700,2026-04-25T16:15:00+00:00,KXBTC15M-26APR251215-15,yes,up,agree,77366.31,,,77348.63,-17.68,"Bitcoin Up or Down - April 25, 12:00PM-12:15PM ET"
1777134600,2026-04-25T16:30:00+00:00,KXBTC15M-26APR251230-30,no,down,agree,77463.16,,,77471.10466660089,7.94,"Bitcoin Up or Down - April 25, 12:15PM-12:30PM ET"
1777135500,2026-04-25T16:45:00+00:00,KXBTC15M-26APR251245-45,no,down,agree,77425.73,,,77416.46855608647,-9.26,"Bitcoin Up or Down - April 25, 12:30PM-12:45PM ET"
1777136400,2026-04-25T17:00:00+00:00,KXBTC15M-26APR251300-00,yes,up,agree,77398.01,,,77388.95134840778,-9.06,"Bitcoin Up or Down - April 25, 12:45PM-1:00PM ET"
1777137300,2026-04-25T17:15:00+00:00,KXBTC15M-26APR251315-15,no,down,agree,77430.54,,,77423.28791184719,-7.25,"Bitcoin Up or Down - April 25, 1:00PM-1:15PM ET"
1777138200,2026-04-25T17:30:00+00:00,KXBTC15M-26APR251330-30,no,down,agree,77383.85,,,77378.51073,-5.34,"Bitcoin Up or Down - April 25, 1:15PM-1:30PM ET"
1777139100,2026-04-25T17:45:00+00:00,KXBTC15M-26APR251345-45,no,down,agree,77352.32,,,77349.04596245407,-3.27,"Bitcoin Up or Down - April 25, 1:30PM-1:45PM ET"
1777140000,2026-04-25T18:00:00+00:00,KXBTC15M-26APR251400-00,no,down,agree,77341.68,,,77329.63115552664,-12.05,"Bitcoin Up or Down - April 25, 1:45PM-2:00PM ET"
1777140900,2026-04-25T18:15:00+00:00,KXBTC15M-26APR251415-15,yes,up,agree,77274.65,,,77270.26460382769,-4.39,"Bitcoin Up or Down - April 25, 2:00PM-2:15PM ET"
1777141800,2026-04-25T18:30:00+00:00,KXBTC15M-26APR251430-30,yes,up,agree,77304.04,,,77302.93951328071,-1.1,"Bitcoin Up or Down - April 25, 2:15PM-2:30PM ET"
1777142700,2026-04-25T18:45:00+00:00,KXBTC15M-26APR251445-45,yes,down,DIVERGE,77333.58,,,77339.83,6.25,"Bitcoin Up or Down - April 25, 2:30PM-2:45PM ET"
1777143600,2026-04-25T19:00:00+00:00,KXBTC15M-26APR251500-00,no,down,agree,77348.8,,,77326.94837460104,-21.85,"Bitcoin Up or Down - April 25, 2:45PM-3:00PM ET"
1777144500,2026-04-25T19:15:00+00:00,KXBTC15M-26APR251515-15,yes,up,agree,77341.58,,,77318.84834213414,-22.73,"Bitcoin Up or Down - April 25, 3:00PM-3:15PM ET"
1777145400,2026-04-25T19:30:00+00:00,KXBTC15M-26APR251530-30,no,down,agree,77345.69,,,77345.18075994795,-0.51,"Bitcoin Up or Down - April 25, 3:15PM-3:30PM ET"
1777146300,2026-04-25T19:45:00+00:00,KXBTC15M-26APR251545-45,no,down,agree,77277.41,,,77272.87358771931,-4.54,"Bitcoin Up or Down - April 25, 3:30PM-3:45PM ET"
1777147200,2026-04-25T20:00:00+00:00,KXBTC15M-26APR251600-00,yes,up,agree,77237.73,,,77210.06099999999,-27.67,"Bitcoin Up or Down - April 25, 3:45PM-4:00PM ET"
1777148100,2026-04-25T20:15:00+00:00,KXBTC15M-26APR251615-15,yes,up,agree,77347.96,,,77340.25770484841,-7.7,"Bitcoin Up or Down - April 25, 4:00PM-4:15PM ET"
1777149000,2026-04-25T20:30:00+00:00,KXBTC15M-26APR251630-30,yes,up,agree,77375.08,,,77371.01000000001,-4.07,"Bitcoin Up or Down - April 25, 4:15PM-4:30PM ET"
1777149900,2026-04-25T20:45:00+00:00,KXBTC15M-26APR251645-45,no,down,agree,77433.28,,,77438.65748,5.38,"Bitcoin Up or Down - April 25, 4:30PM-4:45PM ET"
1777150800,2026-04-25T21:00:00+00:00,KXBTC15M-26APR251700-00,yes,up,agree,77426.57,,,77418.31976789048,-8.25,"Bitcoin Up or Down - April 25, 4:45PM-5:00PM ET"
1777151700,2026-04-25T21:15:00+00:00,KXBTC15M-26APR251715-15,yes,up,agree,77494.41,,,77491.95000000001,-2.46,"Bitcoin Up or Down - April 25, 5:00PM-5:15PM ET"
1777152600,2026-04-25T21:30:00+00:00,KXBTC15M-26APR251730-30,no,up,DIVERGE,77517.82,,,77518.92,1.1,"Bitcoin Up or Down - April 25, 5:15PM-5:30PM ET"
1777153500,2026-04-25T21:45:00+00:00,KXBTC15M-26APR251745-45,no,down,agree,77515.3,,,77536.86120891862,21.56,"Bitcoin Up or Down - April 25, 5:30PM-5:45PM ET"
1777154400,2026-04-25T22:00:00+00:00,KXBTC15M-26APR251800-00,yes,up,agree,77473.24,,,77484.36445000001,11.12,"Bitcoin Up or Down - April 25, 5:45PM-6:00PM ET"
1777155300,2026-04-25T22:15:00+00:00,KXBTC15M-26APR251815-15,yes,down,DIVERGE,77530.98,,,77545.51755,14.54,"Bitcoin Up or Down - April 25, 6:00PM-6:15PM ET"
1777156200,2026-04-25T22:30:00+00:00,KXBTC15M-26APR251830-30,yes,up,agree,77531.44,,,77524.21,-7.23,"Bitcoin Up or Down - April 25, 6:15PM-6:30PM ET"
1777157100,2026-04-25T22:45:00+00:00,KXBTC15M-26APR251845-45,yes,up,agree,77570.13,,,77573.476,3.35,"Bitcoin Up or Down - April 25, 6:30PM-6:45PM ET"
1777158000,2026-04-25T23:00:00+00:00,KXBTC15M-26APR251900-00,no,down,agree,77590.27,,,77612.60315571933,22.33,"Bitcoin Up or Down - April 25, 6:45PM-7:00PM ET"
1777158900,2026-04-25T23:15:00+00:00,KXBTC15M-26APR251915-15,yes,up,agree,77574.67,,,77575.47294,0.8,"Bitcoin Up or Down - April 25, 7:00PM-7:15PM ET"
1777159800,2026-04-25T23:30:00+00:00,KXBTC15M-26APR251930-30,yes,up,agree,77606.67,,,77604.37588821704,-2.29,"Bitcoin Up or Down - April 25, 7:15PM-7:30PM ET"
1777160700,2026-04-25T23:45:00+00:00,KXBTC15M-26APR251945-45,yes,up,agree,77611.34,,,77608.94982920769,-2.39,"Bitcoin Up or Down - April 25, 7:30PM-7:45PM ET"
1777161600,2026-04-26T00:00:00+00:00,KXBTC15M-26APR252000-00,no,up,DIVERGE,77643.31,,,77625.8593790729,-17.45,"Bitcoin Up or Down - April 25, 7:45PM-8:00PM ET"
1777162500,2026-04-26T00:15:00+00:00,KXBTC15M-26APR252015-15,no,down,agree,77641.6,,,77644.85107378918,3.25,"Bitcoin Up or Down - April 25, 8:00PM-8:15PM ET"
1777163400,2026-04-26T00:30:00+00:00,KXBTC15M-26APR252030-30,no,down,agree,77567.84,,,77573.98546,6.15,"Bitcoin Up or Down - April 25, 8:15PM-8:30PM ET"
1777164300,2026-04-26T00:45:00+00:00,KXBTC15M-26APR252045-45,yes,up,agree,77498.5,,,77492.10430001072,-6.4,"Bitcoin Up or Down - April 25, 8:30PM-8:45PM ET"
1777165200,2026-04-26T01:00:00+00:00,KXBTC15M-26APR252100-00,no,down,agree,77561.07,,,77566.93827000001,5.87,"Bitcoin Up or Down - April 25, 8:45PM-9:00PM ET"
1777166100,2026-04-26T01:15:00+00:00,KXBTC15M-26APR252115-15,no,up,DIVERGE,77534.37,,,77515.09,-19.28,"Bitcoin Up or Down - April 25, 9:00PM-9:15PM ET"
1777167000,2026-04-26T01:30:00+00:00,KXBTC15M-26APR252130-30,yes,up,agree,77534.01,,,77524.06761665214,-9.94,"Bitcoin Up or Down - April 25, 9:15PM-9:30PM ET"
1777167900,2026-04-26T01:45:00+00:00,KXBTC15M-26APR252145-45,yes,up,agree,77539.61,,,77527.38401805042,-12.23,"Bitcoin Up or Down - April 25, 9:30PM-9:45PM ET"
1777168800,2026-04-26T02:00:00+00:00,KXBTC15M-26APR252200-00,no,down,agree,77567.13,,,77575.79100271393,8.66,"Bitcoin Up or Down - April 25, 9:45PM-10:00PM ET"
1777169700,2026-04-26T02:15:00+00:00,KXBTC15M-26APR252215-15,yes,up,agree,77481.96,,,77477.45714294168,-4.5,"Bitcoin Up or Down - April 25, 10:00PM-10:15PM ET"
1777170600,2026-04-26T02:30:00+00:00,KXBTC15M-26APR252230-30,no,down,agree,77589.82,,,77586.26533,-3.55,"Bitcoin Up or Down - April 25, 10:15PM-10:30PM ET"
1777171500,2026-04-26T02:45:00+00:00,KXBTC15M-26APR252245-45,no,down,agree,77580.65,,,77575.2,-5.45,"Bitcoin Up or Down - April 25, 10:30PM-10:45PM ET"
1777172400,2026-04-26T03:00:00+00:00,KXBTC15M-26APR252300-00,no,down,agree,77548.39,,,77540.07172958275,-8.32,"Bitcoin Up or Down - April 25, 10:45PM-11:00PM ET"
1777173300,2026-04-26T03:15:00+00:00,KXBTC15M-26APR252315-15,yes,up,agree,77524.99,,,77536.80326999999,11.81,"Bitcoin Up or Down - April 25, 11:00PM-11:15PM ET"
1777174200,2026-04-26T03:30:00+00:00,KXBTC15M-26APR252330-30,no,down,agree,77542.65,,,77543.50161,0.85,"Bitcoin Up or Down - April 25, 11:15PM-11:30PM ET"
1777175100,2026-04-26T03:45:00+00:00,KXBTC15M-26APR252345-45,no,down,agree,77482.53,,,77445.95999999999,-36.57,"Bitcoin Up or Down - April 25, 11:30PM-11:45PM ET"
1777176000,2026-04-26T04:00:00+00:00,KXBTC15M-26APR260000-00,yes,up,agree,77404.22,,,77402.41864999999,-1.8,"Bitcoin Up or Down - April 25, 11:45PM-12:00AM ET"
1777176900,2026-04-26T04:15:00+00:00,KXBTC15M-26APR260015-15,yes,up,agree,77430.11,,,77404.5216270722,-25.59,"Bitcoin Up or Down - April 26, 12:00AM-12:15AM ET"
