close_iso,ticker,classification,position,pair_pnl_usd,events,kalshi_result,poly_outcome,kalshi_strike,poly_price_beat,delta
2026-04-25T13:00:00+00:00,KXBTC15M-26APR250900-00,DIVERGE,NO_TRADE,,-,yes,down,77584.89,77576.89425132514,-8.0
2026-04-25T13:15:00+00:00,KXBTC15M-26APR250915-15,agree,NO_TRADE,,-,yes,up,77585.27,77574.1917899385,-11.08
2026-04-25T13:30:00+00:00,KXBTC15M-26APR250930-30,agree,NO_TRADE,,-,no,down,77661.82,77660.58554862348,-1.23
2026-04-25T13:45:00+00:00,KXBTC15M-26APR250945-45,agree,NO_TRADE,,-,yes,up,77642.73,77635.67972,-7.05
2026-04-25T14:00:00+00:00,KXBTC15M-26APR251000-00,agree,NO_TRADE,,-,yes,up,77691.55,77691.7454,0.2
2026-04-25T14:15:00+00:00,KXBTC15M-26APR251015-15,DIVERGE,NO_TRADE,,-,no,up,77710.95,77701.983,-8.97
2026-04-25T14:30:00+00:00,KXBTC15M-26APR251030-30,agree,NO_TRADE,,-,yes,up,77677.01,77702.68762253759,25.68
2026-04-25T14:45:00+00:00,KXBTC15M-26APR251045-45,DIVERGE,NO_TRADE,,-,no,up,77753.95,77743.17,-10.78
2026-04-25T15:00:00+00:00,KXBTC15M-26APR251100-00,agree,NO_TRADE,,-,no,down,77752.73,77749.88,-2.85
2026-04-25T15:15:00+00:00,KXBTC15M-26APR251115-15,agree,NO_TRADE,,-,yes,up,77684.2,77677.19629,-7.0
2026-04-25T15:30:00+00:00,KXBTC15M-26APR251130-30,agree,NO_TRADE,,-,yes,up,77697.87,77688.48419,-9.39
2026-04-25T15:45:00+00:00,KXBTC15M-26APR251145-45,agree,NO_TRADE,,-,no,down,77729.68,77723.59956,-6.08
2026-04-25T16:00:00+00:00,KXBTC15M-26APR251200-00,agree,NO_TRADE,,-,no,down,77698.87,77680.59342258585,-18.28
2026-04-25T16:15:00+00:00,KXBTC15M-26APR251215-15,agree,NO_TRADE,,-,yes,up,77366.31,77348.63,-17.68
2026-04-25T16:30:00+00:00,KXBTC15M-26APR251230-30,agree,NO_TRADE,,-,no,down,77463.16,77471.10466660089,7.94
2026-04-25T16:45:00+00:00,KXBTC15M-26APR251245-45,agree,HEDGED,0.3334,ENTRY|HEDGE_OK,no,down,77425.73,77416.46855608647,-9.26
2026-04-25T17:00:00+00:00,KXBTC15M-26APR251300-00,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,yes,up,77398.01,77388.95134840778,-9.06
2026-04-25T17:15:00+00:00,KXBTC15M-26APR251315-15,agree,HEDGED,0.3018,ENTRY|HEDGE_OK,no,down,77430.54,77423.28791184719,-7.25
2026-04-25T17:30:00+00:00,KXBTC15M-26APR251330-30,agree,HEDGED,0.6284,ENTRY|HEDGE_OK,no,down,77383.85,77378.51073,-5.34
2026-04-25T17:45:00+00:00,KXBTC15M-26APR251345-45,agree,HEDGED,0.3227,ENTRY|HEDGE_OK,no,down,77352.32,77349.04596245407,-3.27
2026-04-25T18:00:00+00:00,KXBTC15M-26APR251400-00,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,no,down,77341.68,77329.63115552664,-12.05
2026-04-25T18:15:00+00:00,KXBTC15M-26APR251415-15,agree,HEDGED,0.2786,ENTRY|HEDGE_OK,yes,up,77274.65,77270.26460382769,-4.39
2026-04-25T18:30:00+00:00,KXBTC15M-26APR251430-30,agree,HEDGED,0.3183,ENTRY|HEDGE_OK,yes,up,77304.04,77302.93951328071,-1.1
2026-04-25T18:45:00+00:00,KXBTC15M-26APR251445-45,DIVERGE,NAKED,,ENTRY|NAKED_AT_CLOSE,yes,down,77333.58,77339.83,6.25
2026-04-25T19:00:00+00:00,KXBTC15M-26APR251500-00,agree,HEDGED,0.4762,ENTRY|HEDGE_OK,no,down,77348.8,77326.94837460104,-21.85
2026-04-25T19:15:00+00:00,KXBTC15M-26APR251515-15,agree,HEDGED,1.1176,ENTRY|HEDGE_OK,yes,up,77341.58,77318.84834213414,-22.73
2026-04-25T19:30:00+00:00,KXBTC15M-26APR251530-30,agree,HEDGED,0.3296,ENTRY|HEDGE_OK,no,down,77345.69,77345.18075994795,-0.51
2026-04-25T19:45:00+00:00,KXBTC15M-26APR251545-45,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,no,down,77277.41,77272.87358771931,-4.54
2026-04-25T20:00:00+00:00,KXBTC15M-26APR251600-00,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,yes,up,77237.73,77210.06099999999,-27.67
2026-04-25T20:15:00+00:00,KXBTC15M-26APR251615-15,agree,HEDGED,0.4236,ENTRY|HEDGE_OK,yes,up,77347.96,77340.25770484841,-7.7
2026-04-25T20:30:00+00:00,KXBTC15M-26APR251630-30,agree,HEDGED,0.3307,ENTRY|HEDGE_OK,yes,up,77375.08,77371.01000000001,-4.07
2026-04-25T20:45:00+00:00,KXBTC15M-26APR251645-45,agree,HEDGED,0.3647,ENTRY|HEDGE_OK,no,down,77433.28,77438.65748,5.38
2026-04-25T21:00:00+00:00,KXBTC15M-26APR251700-00,agree,HEDGED,0.2358,ENTRY|HEDGE_OK,yes,up,77426.57,77418.31976789048,-8.25
2026-04-25T21:15:00+00:00,KXBTC15M-26APR251715-15,agree,HEDGED,0.2769,ENTRY|HEDGE_OK,yes,up,77494.41,77491.95000000001,-2.46
2026-04-25T21:30:00+00:00,KXBTC15M-26APR251730-30,DIVERGE,HEDGED,0.4417,ENTRY|HEDGE_OK,no,up,77517.82,77518.92,1.1
2026-04-25T21:45:00+00:00,KXBTC15M-26APR251745-45,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,no,down,77515.3,77536.86120891862,21.56
2026-04-25T22:00:00+00:00,KXBTC15M-26APR251800-00,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,yes,up,77473.24,77484.36445000001,11.12
2026-04-25T22:15:00+00:00,KXBTC15M-26APR251815-15,DIVERGE,NAKED,,ENTRY|NAKED_AT_CLOSE,yes,down,77530.98,77545.51755,14.54
2026-04-25T22:30:00+00:00,KXBTC15M-26APR251830-30,agree,HEDGED,0.2787,ENTRY|HEDGE_OK,yes,up,77531.44,77524.21,-7.23
2026-04-25T22:45:00+00:00,KXBTC15M-26APR251845-45,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,yes,up,77570.13,77573.476,3.35
2026-04-25T23:00:00+00:00,KXBTC15M-26APR251900-00,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,no,down,77590.27,77612.60315571933,22.33
2026-04-25T23:15:00+00:00,KXBTC15M-26APR251915-15,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,yes,up,77574.67,77575.47294,0.8
