timestamp,arb_id,result_tag,kalshi_ticker,poly_market,contracts_int,kalshi_side,kalshi_price_target,kalshi_price_sent,kalshi_order_id,kalshi_filled,poly_token_id_head,poly_price_target,poly_order_id,poly_matched_shares,profit_estimated,budget_usd,exec_duration_ms,warnings
2026-04-22T20:02:34.274+00:00,1,SUCESSO,KXBTC15M-26APR221615-15,"Bitcoin Up or Down - April 22, 4:00PM-4:15PM ET",7,yes,0.4700,0.4800,REDACTED,7,100485966489,0.4200,REDACTED,7.0,0.6450,7.00,1690,
2026-04-22T20:16:00.009+00:00,1,SUCESSO,KXBTC15M-26APR221630-30,"Bitcoin Up or Down - April 22, 4:15PM-4:30PM ET",7,yes,0.4900,0.5000,REDACTED,7,742041707448,0.4400,REDACTED,7.0,0.3252,7.00,1510,
2026-04-22T20:31:27.010+00:00,1,ABORTADO_POLY,KXBTC15M-26APR221645-45,"Bitcoin Up or Down - April 22, 4:30PM-4:45PM ET",7,yes,0.5300,,,,383721524638,0.4100,,0,0.2305,7.00,829,
2026-04-22T20:31:32.855+00:00,1,SUCESSO,KXBTC15M-26APR221645-45,"Bitcoin Up or Down - April 22, 4:30PM-4:45PM ET",7,yes,0.5000,0.5100,REDACTED,7,383721524638,0.4400,REDACTED,7.0,0.2480,7.00,1948,
2026-04-22T20:46:05.938+00:00,1,UNWIND_OK,KXBTC15M-26APR221700-00,"Bitcoin Up or Down - April 22, 4:45PM-5:00PM ET",7,yes,0.4700,0.4800,,,564341291135,0.4700,REDACTED,7.0,0.2437,7.00,3991,
2026-04-22T21:01:50.313+00:00,2,ABORTADO_POLY,KXBTC15M-26APR221715-15,"Bitcoin Up or Down - April 22, 5:00PM-5:15PM ET",7,no,0.2700,,,,253438300137,0.6800,,0,0.1823,7.00,878,
2026-04-22T21:06:15.315+00:00,2,SUCESSO,KXBTC15M-26APR221715-15,"Bitcoin Up or Down - April 22, 5:00PM-5:15PM ET",7,no,0.0460,0.0560,REDACTED,7,253438300137,0.9200,REDACTED,7.0,0.1791,7.00,1665,
2026-04-22T21:16:00.011+00:00,2,SUCESSO,KXBTC15M-26APR221730-30,"Bitcoin Up or Down - April 22, 5:15PM-5:30PM ET",7,no,0.4300,0.4400,REDACTED,7,287344624779,0.5100,REDACTED,7.0,0.2380,7.00,1822,
2026-04-22T21:31:08.480+00:00,2,ABORTADO_POLY,KXBTC15M-26APR221745-45,"Bitcoin Up or Down - April 22, 5:30PM-5:45PM ET",7,no,0.2100,,,,786853943353,0.7300,,0,0.2710,7.00,877,
2026-04-22T21:31:16.147+00:00,1,ABORTADO_POLY,KXBTC15M-26APR221745-45,"Bitcoin Up or Down - April 22, 5:30PM-5:45PM ET",7,yes,0.7700,,,,672393176369,0.1900,,0,0.1818,7.00,887,
2026-04-22T21:31:45.238+00:00,2,DESCOBERTO_CRITICO,KXBTC15M-26APR221745-45,"Bitcoin Up or Down - April 22, 5:30PM-5:45PM ET",7,no,0.2300,0.2400,,,786853943353,0.7200,REDACTED,7.0,0.1942,7.00,3313,
2026-04-22T21:31:49.420+00:00,HEDGE_2,HEDGE_COMPLETO,KXBTC15M-26APR221745-45,"Bitcoin Up or Down - April 22, 5:30PM-5:45PM ET",7,no,0.2500,0.2700,REDACTED,7,786853943353,0.7200,,7,+0.0700,7.00,3147,hedge pós-DESCOBERTO_CRITICO (tent=3)
2026-04-22T21:46:00.028+00:00,2,SUCESSO,KXBTC15M-26APR221800-00,"Bitcoin Up or Down - April 22, 5:45PM-6:00PM ET",7,no,0.5200,0.5300,REDACTED,7,507797730955,0.4100,REDACTED,7.0,0.3304,7.00,1491,
2026-04-22T22:01:01.812+00:00,1,ABORTADO_POLY,KXBTC15M-26APR221815-15,"Bitcoin Up or Down - April 22, 6:00PM-6:15PM ET",7,yes,0.6400,,,,538549432384,0.3100,,0,0.2060,7.00,978,
2026-04-22T22:02:52.128+00:00,1,ABORTADO_POLY,KXBTC15M-26APR221815-15,"Bitcoin Up or Down - April 22, 6:00PM-6:15PM ET",7,yes,0.3200,,,,538549432384,0.6200,,0,0.2383,7.00,565,
2026-04-22T22:03:05.974+00:00,2,ABORTADO_POLY,KXBTC15M-26APR221815-15,"Bitcoin Up or Down - April 22, 6:00PM-6:15PM ET",7,no,0.6600,,,,684499858382,0.2900,,0,0.2096,7.00,799,
2026-04-22T22:03:17.338+00:00,2,ABORTADO_POLY,KXBTC15M-26APR221815-15,"Bitcoin Up or Down - April 22, 6:00PM-6:15PM ET",7,no,0.6500,,,,684499858382,0.3000,,0,0.2078,7.00,1183,
2026-04-22T22:04:06.378+00:00,2,ABORTADO_POLY,KXBTC15M-26APR221815-15,"Bitcoin Up or Down - April 22, 6:00PM-6:15PM ET",7,no,0.5900,,,,684499858382,0.3600,,0,0.1865,7.00,1483,
2026-04-22T22:05:34.541+00:00,2,ABORTADO_POLY,KXBTC15M-26APR221815-15,"Bitcoin Up or Down - April 22, 6:00PM-6:15PM ET",7,no,0.4600,,,,684499858382,0.4800,,0,0.2422,7.00,638,
2026-04-22T22:05:41.079+00:00,1,ABORTADO_POLY,KXBTC15M-26APR221815-15,"Bitcoin Up or Down - April 22, 6:00PM-6:15PM ET",7,yes,0.4100,,,,538549432384,0.5300,,0,0.1949,7.00,499,
2026-04-22T22:06:00.872+00:00,2,ABORTADO_POLY,KXBTC15M-26APR221815-15,"Bitcoin Up or Down - April 22, 6:00PM-6:15PM ET",7,no,0.5900,,,,684499858382,0.3600,,0,0.1865,7.00,549,
2026-04-22T22:06:32.889+00:00,2,ABORTADO_POLY,KXBTC15M-26APR221815-15,"Bitcoin Up or Down - April 22, 6:00PM-6:15PM ET",7,no,0.3800,,,,684499858382,0.5500,,0,0.2868,7.00,532,
2026-04-22T22:07:05.159+00:00,1,ABORTADO_POLY,KXBTC15M-26APR221815-15,"Bitcoin Up or Down - April 22, 6:00PM-6:15PM ET",7,yes,0.5300,,,,538549432384,0.4200,,0,0.1761,7.00,552,
2026-04-22T22:07:27.061+00:00,2,ABORTADO_POLY,KXBTC15M-26APR221815-15,"Bitcoin Up or Down - April 22, 6:00PM-6:15PM ET",7,no,0.4500,,,,684499858382,0.4700,,0,0.3991,7.00,815,
2026-04-22T22:07:42.778+00:00,1,ABORTADO_POLY,KXBTC15M-26APR221815-15,"Bitcoin Up or Down - April 22, 6:00PM-6:15PM ET",7,yes,0.5300,,,,538549432384,0.4200,,0,0.1761,7.00,612,
